"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "Markdown", "CSV", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Wd.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\comps\Para.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\cirs.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\cna.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\cp.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\csa.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\css.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\da.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\isa.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\ncsa.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\sd.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\wd.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\README.md", "Markdown", 0, 0, 0, 35, 0, 0, 0, 0, 0, 35
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\contact\data.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
