"filename", "language", "JavaScript", "CSV", "SCSS", "JavaScript JSX", "Properties", "Markdown", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\Layout.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 2, 41
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\NoPage.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\Settings.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\settings\modules\Title.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\settings\pages\CursorColors.jsx", "JavaScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 3, 57
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\settings\pages\KeybindNavigation.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\home\Home.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Cna.jsx", "JavaScript JSX", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -2, -3
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\students\data.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\global\data.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\home\data.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\programs\csv\15-1241.csv", "CSV", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 1, 194
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\images\README.md", "Markdown", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\images\grassotechItLogo.svg", "XML", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -1, -10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\images\logo.svg", "XML", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -1, -10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\images\logo_thick.svg", "XML", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -1, -10
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\about.scss", "SCSS", 0, 0, 53, 0, 0, 0, 0, 0, 0, 11, 0, 64
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\media.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
