Date : 2023-06-08 10:03:44
Directory : c:\Users\finkelsteinc\Code\Github\itdepartment\client\src
Total : 92 files,  3982 codes, 13 comments, 184 blanks, all 4179 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\Da.jsx                      | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\Isa.jsx                     | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\Ncsa.jsx                    | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\Sd.jsx                      | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\Wd.jsx                      | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\comps\Para.jsx              | JavaScript JSX |         11 |          0 |          2 |         13 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\json\cirs.json              | JSON           |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\json\cna.json               | JSON           |         10 |          0 |          0 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\json\cp.json                | JSON           |          8 |          0 |          0 |          8 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\json\csa.json               | JSON           |         10 |          0 |          0 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\json\css.json               | JSON           |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\json\da.json                | JSON           |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\json\isa.json               | JSON           |         10 |          0 |          0 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\json\ncsa.json              | JSON           |         10 |          0 |          0 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\json\sd.json                | JSON           |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\json\wd.json                | JSON           |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\README.md                                    | Markdown       |         35 |          0 |          0 |         35 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\contact\data.js                        | JavaScript     |         17 |          0 |          0 |         17 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\contact\data.json                      | JSON           |         14 |          0 |          0 |         14 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\cards.js                    | JavaScript     |          7 |          0 |          0 |          7 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\data.js                     | JavaScript     |         19 |          0 |          0 |         19 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\title.js                    | JavaScript     |          7 |          0 |          0 |          7 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\nav\data.js                            | JavaScript     |          8 |          0 |          0 |          8 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\students\data.js                       | JavaScript     |         25 |          1 |          2 |         28 |
